BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,Generator Fuel Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__PHPOW002,__PHPOW002,Haven Power Ltd,HAVEN,S,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,F,F
2__PHUDG000,2__PHUDG000,Hudson Energy Supply UK Ltd,AMPERE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PHUDS000,2__PHUDS000,Hudson Energy Supply UK Ltd,AMPERE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-6,0.5716,0.4698,0.25,-3.43,-2.819,0,0,F,T,F,,01/12/18,,F
2__PHUDS001,2__PHUDS001,Hudson Energy Supply UK Ltd,AMPERE,S,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,F,F
2__PHYDE000,HYDE North Scotland,SSE Electricity Limited,SWEL,G,,NSC-SSE01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,186,-612.8,0.4382,0.4569,0.25,-268.529,-279.988,81.505,84.983,F,T,T,,18/01/19,,F
2__PIMPO000,IMPO North Scotland,SSE Energy Supply Limited,SSE,G,,NSC-ATL01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,290,-142.4,0.4634,0.4488,0.25,-65.988,-63.909,134.386,130.152,F,T,T,,25/01/19,,F
2__PINDE000,INDE Scottish Hydro,Npower Direct Limited,NITTWO01,G,,NSC-INE01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-5.21,0.5658,0.4521,0.25,-2.948,-2.355,0,0,F,T,T,,03/01/19,,F
2__PINVE000,INVE_P,AMPowerUK Ltd,INVE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PIRES000,NSC-IRS01,Octopus Energy Limited,MERCURY,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-2,0.4883,0.5269,0.25,-0.977,-1.054,0,0,F,T,F,,01/12/18,,F
2__PIRID000,2__PIRID000,PFP Energy Supplies Limited,IRIDIUM,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-2.4,0.4955,0.5379,0.25,-1.189,-1.291,0,0,F,T,F,,01/12/18,,F
